dataset,model,repetition,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc
ToN-IoT,XGBoost,1,0,0.9984837356961785,0.9975240041603279,0.9982806252437377,0.9975240041603279,0.9979016520904218,0.9999811170790772
ToN-IoT,RF,1,0,0.99898125992087,0.9980913347201092,0.9990906347559234,0.9980913347201092,0.9985898315261367,0.9999374786550344
ToN-IoT,DT,1,0,0.9983652775474425,0.9978256263777205,0.9976540918461401,0.9978256263777205,0.9977398249757574,0.9978256263777205
ToN-IoT,XGBoost,1,1,0.998649577104409,0.997977433326089,0.9982867829541218,0.997977433326089,0.9981319973394177,0.9999861684622311
ToN-IoT,RF,1,1,0.9988628017721339,0.9979102874972834,0.9989437884670482,0.9979102874972834,0.9984258040486749,0.9999757769567511
ToN-IoT,DT,1,1,0.9982231277689593,0.9974221972119595,0.9976624793923912,0.9974221972119595,0.9975422713432822,0.9974221972119593
ToN-IoT,XGBoost,1,2,0.9989101850316283,0.9984240041603278,0.9985615377371264,0.9984240041603278,0.9984927490605071,0.9999881865317148
ToN-IoT,RF,1,2,0.9992181762183421,0.9985913347201092,0.9992459577877127,0.9985913347201092,0.9989181514421568,0.9999429026048621
ToN-IoT,DT,1,2,0.9986021938449146,0.9980842916576111,0.9980499512766061,0.9980842916576111,0.998067120100536,0.9980842916576111
ToN-IoT,XGBoost,1,3,0.9987206216830933,0.9978171385991058,0.9986432068386316,0.9978171385991058,0.9982293836402566,0.9999797721063091
ToN-IoT,RF,1,3,0.9992655420773313,0.9985879036264282,0.9993806875232227,0.9985879036264282,0.9989835701612264,0.9999963052657724
ToN-IoT,DT,1,3,0.998341546626232,0.9979479880774962,0.9974680722505669,0.9979479880774962,0.997707762759913,0.9979479880774963
ToN-IoT,XGBoost,1,4,0.9987206216830933,0.9977137108792846,0.998746789409733,0.9977137108792846,0.9982290165534122,0.9999652834699453
ToN-IoT,RF,1,4,0.999170773313116,0.9984568554396422,0.9992494309621633,0.9984568554396422,0.9988524179239652,0.999942981557377
ToN-IoT,DT,1,4,0.9982704700530705,0.9975911326378539,0.9976254463597187,0.9975911326378539,0.9976082881328661,0.9975911326378539
